Relative Path,File Type,Bytes,Audience,Release Control,SHA-256
00_Start_Here/DAVID_READY_TO_SEND_EMAIL.txt,.txt,1266,Administrative,Start Here / package control,2d12ec3265a694856394606827ced88c608ed93192d15f0b9d57c583ea8f58d1
00_Start_Here/INITIAL_RELEASE_VERIFICATION_SUMMARY.txt,.txt,807,Administrative,Start Here / package control,3a68b6b880ed043b7195cafc13fb716208e7056e65c0591cf090342fe829c4ed
00_Start_Here/PACKAGE_CONTENTS_AND_LMS_RULES.txt,.txt,791,Administrative,Start Here / package control,fc4c003eae78c49ad81917a84b9ecbe033bf1a00b2650c973b55acee46fefa90
00_Start_Here/README_FIRST.txt,.txt,587,Administrative,Start Here / package control,b874f6f41c371194392b3178ff61e2d2c801b3b1560b4b6fc193321ab04a2110
01_Student_Workbooks/CTA_LPCC_WB10_Multicultural_Developmental_Career_Spiritual_Disability_and_Context_Responsive_Counseling_Student_Workbook_v1.0.docx,.docx,1041545,Learner,Visible in workbook sequence,bf52e9f674d6c2e50fd1e6cae8134239e7bfd404ab90c6a601946874deb75b6f
01_Student_Workbooks/CTA_LPCC_WB11_Individual_Group_Couple_Family_Referral_Continuity_and_Interdisciplinary_Collaboration_Student_Workbook_v1.0.docx,.docx,1033895,Learner,Visible in workbook sequence,b2bde2887b63c913f40afebe07e62cb47e240e926e81899fc3218aa39d8b8345
01_Student_Workbooks/CTA_LPCC_WB12_California_Legal_Ethical_Documentation_Technology_and_Professional_Practice_Student_Workbook_v1.0.docx,.docx,1032886,Learner,Visible in workbook sequence,b588a1508ae34206a82cb75a3a586efed73dfb646acfe45f583cc278f2a94d7a
01_Student_Workbooks/CTA_LPCC_WB1_NCMHCE_Case_Study_Strategy_and_Applied_Clinical_Counselor_Reasoning_Student_Workbook_v1.0.docx,.docx,1043487,Learner,Visible in workbook sequence,34b5f0b9fa90c4593edde24a73c50116478aee0b437b00f534e3235282d8b1d0
01_Student_Workbooks/CTA_LPCC_WB2_Professional_Identity_California_Scope_Competence_and_Counselor_Self_Awareness_Student_Workbook_v1.0.docx,.docx,1042848,Learner,Visible in workbook sequence,cf7bbfbba03724a7809e9c8e9c5de3657e46c726b058b431ffc8bc936a819a92
01_Student_Workbooks/CTA_LPCC_WB3_Intake_Informed_Consent_Clinical_Interviewing_MSE_and_Biopsychosocial_Cultural_Assessment_Student_Workbook_v1.0.docx,.docx,1042108,Learner,Visible in workbook sequence,8efd8a9359920c4231d84f174036a8cc032cfa4be0bd2263ee18dcdc02386565
01_Student_Workbooks/CTA_LPCC_WB4_Crisis_Trauma_Abuse_Violence_and_Level_of_Care_Decisions_Student_Workbook_v1.0.docx,.docx,1039728,Learner,Visible in workbook sequence,cc9a069c87efad09616e74b99ada9ed438595e2e83282145c1ee5793d6b514db
01_Student_Workbooks/CTA_LPCC_WB5_Diagnosis_and_Differential_Diagnosis_I_Mood_Anxiety_Trauma_OCD_and_Psychotic_Disorders_Student_Workbook_v1.0.docx,.docx,1039176,Learner,Visible in workbook sequence,12026c1885dd852947677e4e2bf5d5cd435cf6599db6a6e20bf98db02779ab48
01_Student_Workbooks/CTA_LPCC_WB6_Diagnosis_and_Differential_Diagnosis_II_Substance_Use_Personality_Neurodevelopmental_Eating_Sleep_Somatic_Medical_and_Co-Occurring_Conditions_Student_Workbook_v1.0.docx,.docx,1040606,Learner,Visible in workbook sequence,bb0084c5a220e7290d0aef7bda5975d723123b2f84e49982f2e195172213ea98
01_Student_Workbooks/CTA_LPCC_WB7_Case_Conceptualization_Treatment_Planning_Measurement_Progress_and_Termination_Student_Workbook_v1.0.docx,.docx,1041330,Learner,Visible in workbook sequence,deced99df8d7564d601c21408bdcd0e08246f1bece12b7adaf9bcaf3e98694f9
01_Student_Workbooks/CTA_LPCC_WB8_Counseling_Theories_Therapeutic_Alliance_and_Core_Counseling_Skills_Student_Workbook_v1.0.docx,.docx,1039455,Learner,Visible in workbook sequence,b9a3d181d07b4761c212b7113714892eba733cac7c3e73ffc5777afe3e2067cd
01_Student_Workbooks/CTA_LPCC_WB9_Evidence_Based_and_Evidence_Informed_Interventions_Across_Common_Presenting_Concerns_Student_Workbook_v1.0.docx,.docx,1042981,Learner,Visible in workbook sequence,047f97d6cdb52330c2cda09a65d8f95af6afa660614ea77c9c5333ca50357be1
02_Workbook_Practice_Banks/WB01/CTA_LPCC_WB1_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1028942,Controlled learner release,Hidden until candidate-bank submission,51f90cf9022d52df8f5c89a6fc04f65823a46fbce5d5c00e3f1073497918f2ee
02_Workbook_Practice_Banks/WB01/CTA_LPCC_WB1_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1021672,Learner,Release after matching workbook completion,5193647e68bff9d25c193ca3fab410ef529709eb4fa9e1fc85863c860e278d5e
02_Workbook_Practice_Banks/WB01/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB02/CTA_LPCC_WB2_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1028794,Controlled learner release,Hidden until candidate-bank submission,cc556549f0d30f6769bbd6d3d8f4c527720e6fd3d39b3336dcbde184d841de96
02_Workbook_Practice_Banks/WB02/CTA_LPCC_WB2_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1021705,Learner,Release after matching workbook completion,92d1bc62a3e9ca101d24a40d816660d2386ab7370e5f513c36e7d800121938f5
02_Workbook_Practice_Banks/WB02/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB03/CTA_LPCC_WB3_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1029076,Controlled learner release,Hidden until candidate-bank submission,03acfd93f15957ebf3466751e4319d84f7a85d08e7e2763e4f84856c1a395538
02_Workbook_Practice_Banks/WB03/CTA_LPCC_WB3_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1021713,Learner,Release after matching workbook completion,6c39c1971fb77dc06080608fb59bb374577c8747c6e0a6d1198c4f1dc1e9283a
02_Workbook_Practice_Banks/WB03/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB04/CTA_LPCC_WB4_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1029020,Controlled learner release,Hidden until candidate-bank submission,3a6a7d6a8c79734c25399e9b1af4a05c008ed1894ffae1f1671c1dbe2b882fda
02_Workbook_Practice_Banks/WB04/CTA_LPCC_WB4_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1021917,Learner,Release after matching workbook completion,ab2ae3b9dd747ce91c58c41c2ab1781a867517a98057a90830310f2bd5803525
02_Workbook_Practice_Banks/WB04/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB05/CTA_LPCC_WB5_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1028485,Controlled learner release,Hidden until candidate-bank submission,394940518c3bbab67faf5b57394837a28bb51ab741c131bc8475cebfeedc2421
02_Workbook_Practice_Banks/WB05/CTA_LPCC_WB5_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1021329,Learner,Release after matching workbook completion,d262e3e4376ffb50d196e6b609d785eed5bcdb3fb2844784c6786988cfd539df
02_Workbook_Practice_Banks/WB05/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB06/CTA_LPCC_WB6_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1030138,Controlled learner release,Hidden until candidate-bank submission,abadab698fe48d86fc01ba9535768ba06d2ff6db330b5f2c6022a148134b47e8
02_Workbook_Practice_Banks/WB06/CTA_LPCC_WB6_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1021732,Learner,Release after matching workbook completion,43c1e4cd55bbf9082ab88720fcf65f178185abe7e654f8780c7a70661a7662ec
02_Workbook_Practice_Banks/WB06/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB07/CTA_LPCC_WB7_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1029408,Controlled learner release,Hidden until candidate-bank submission,820a80b4599833a1dc097212ce21e442015b966ec3d5a723b2c55d47e43961aa
02_Workbook_Practice_Banks/WB07/CTA_LPCC_WB7_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1021134,Learner,Release after matching workbook completion,aae5470e2ca98b979c436db05129c4b831023e225f295edef28a1eaa01ea113a
02_Workbook_Practice_Banks/WB07/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB08/CTA_LPCC_WB8_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1029775,Controlled learner release,Hidden until candidate-bank submission,e442eb00702c30e83ba0e71860c9a9c2ccfc587cf762a5be8017c37b1dce9ef8
02_Workbook_Practice_Banks/WB08/CTA_LPCC_WB8_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1021352,Learner,Release after matching workbook completion,b116a04793ea8b9ebe7954c53456e06ea82d29d2adf1d25a35677f36231bcba6
02_Workbook_Practice_Banks/WB08/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB09/CTA_LPCC_WB9_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1030013,Controlled learner release,Hidden until candidate-bank submission,200861ac9c8fd983465e9c144cbe608b9b44d3396d84f6cc59b872b783cc3922
02_Workbook_Practice_Banks/WB09/CTA_LPCC_WB9_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1021808,Learner,Release after matching workbook completion,1b6af75a62bae6ca20e3e778fcd4a928f01a8918edacee685deeaac73dedf376
02_Workbook_Practice_Banks/WB09/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB10/CTA_LPCC_WB10_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1031574,Controlled learner release,Hidden until candidate-bank submission,4ff1f25f8bc6034dab39e163bd83571df1ccbb26d956d015cc106459665c3bfe
02_Workbook_Practice_Banks/WB10/CTA_LPCC_WB10_17_Question_Practice_Bank_Candidate_Form_v1.0.docx,.docx,1022761,Learner,Release after matching workbook completion,0373a7943cd34c04f810433be6d1e89095d9063be3a8f02dfb6f32aacb89f1cc
02_Workbook_Practice_Banks/WB10/RELEASE_CONTROL.txt,.txt,144,Administrative,Release-control instruction,15b930ee4269f2c250940b1ff69bcc8ab9d7173d5ff05820d99bb0bfa3e3d724
02_Workbook_Practice_Banks/WB11/CTA_LPCC_WB11_17_Question_Practice_Bank_Answer_Rationales_v1.0.docx,.docx,1030929,Controlled learner release,Hidden until candidate-bank submission,1f6eaaebeeb96defba7b716b651861a399ffc0c5e818b6f13c454f152f96a1eb
